Y ,X1 ,X2 ,X3 ,
576 ,9 ,8 ,8 ,
16 ,4 ,1 ,4 ,
400 ,8 ,5 ,10 , 
400 ,10 ,4 ,10 ,
90 ,1 ,10 ,9 ,
64 ,4 ,4 ,4 ,
108 ,3 ,9 ,4 ,
160 ,5 ,8 ,4 ,
7 ,1 ,1 ,7 ,
128 ,4 ,8 ,4 ,
108 ,3 ,6 ,6 ,
240 ,4 ,6 ,10 ,
32 ,2 ,2 ,8 ,
300 ,10 ,10 ,3 ,
224 ,7 ,4 ,8 ,
32 ,8 ,1 ,4 ,
42 ,1 ,7 ,6 ,
300 ,5 ,10 ,6 ,
160 ,5 ,4 ,8 ,
350 ,10 ,5 ,7 ,
108 ,9 ,2 ,6 ,
600 ,10 ,10 ,6 ,
420 ,7 ,6 ,10 ,
36 ,2 ,2 ,9 ,
240 ,4 ,6 ,10 ,
48 ,3 ,4 ,4 ,
200 ,10 ,4 ,5 ,
15 ,1 ,3 ,5 ,
144 ,6 ,3 ,8 ,
270 ,10 ,3 ,9 ,
108 ,6 ,6 ,3 ,
16 ,4 ,1 ,4 ,
128 ,8 ,4 ,4 ,
378 ,9 ,7 ,6 ,
324 ,9 ,6 ,6 ,
108 ,2 ,6 ,9 ,
96 ,8 ,3 ,4 ,
84 ,6 ,7 ,2 ,
630 ,10 ,9 ,7 ,
128 ,2 ,8 ,8 ,
240 ,3 ,10 ,8 ,
400 ,8 ,10 ,5 ,
96 ,3 ,4 ,8 ,
270 ,9 ,3 ,10 ,
16 ,4 ,2 ,2 ,
294 ,7 ,7 ,6 ,
48 ,8 ,3 ,2 ,
112 ,4 ,7 ,4 ,
100 ,4 ,5 ,5 ,
80 ,4 ,10 ,2 ,
30 ,1 ,10 ,3 ,
180 ,10 ,2 ,9 ,
72 ,6 ,6 ,2 ,
120 ,4 ,5 ,6 ,
18 ,2 ,9 ,1 ,
126 ,7 ,2 ,9 ,
210 ,5 ,6 ,7 ,
192 ,6 ,4 ,8 ,
32 ,2 ,4 ,4 ,
270 ,3 ,10 ,9 ,
450 ,9 ,10 ,5 ,
90 ,3 ,6 ,5 ,
70 ,2 ,7 ,5 ,
10 ,5 ,2 ,1 ,
